Classifier,Timestamp,F1,SA,HL,Pr,Re,F1m,F1M,Prm,PrM,Rem,ReM
UnkRM,38,0.04040298,0.04040298,0.04040298,0.04040298,0.04040298,0.04040298,0.04040298,0.04040298,0.04040298,0.04040298,0.04040298
UnkRM,39,0.11879575,0.11879575,0.11879575,0.11879575,0.11879575,0.11879575,0.11879575,0.11879575,0.11879575,0.11879575,0.11879575
UnkRM,40,0.18773612,0.18773612,0.18773612,0.18773612,0.18773612,0.18773612,0.18773612,0.18773612,0.18773612,0.18773612,0.18773612
UnkRM,41,0.20907275,0.20907275,0.20907275,0.20907275,0.20907275,0.20907275,0.20907275,0.20907275,0.20907275,0.20907275,0.20907275
UnkRM,42,0.2150981,0.2150981,0.2150981,0.2150981,0.2150981,0.2150981,0.2150981,0.2150981,0.2150981,0.2150981,0.2150981
UnkRM,43,0.21967642,0.21967642,0.21967642,0.21967642,0.21967642,0.21967642,0.21967642,0.21967642,0.21967642,0.21967642,0.21967642
UnkRM,44,0.22336702,0.22336702,0.22336702,0.22336702,0.22336702,0.22336702,0.22336702,0.22336702,0.22336702,0.22336702,0.22336702
UnkRM,45,0.18888712,0.18888712,0.18888712,0.18888712,0.18888712,0.18888712,0.18888712,0.18888712,0.18888712,0.18888712,0.18888712
UnkRM,46,0.17162704,0.17162704,0.17162704,0.17162704,0.17162704,0.17162704,0.17162704,0.17162704,0.17162704,0.17162704,0.17162704
UnkRM,47,0.15911575,0.15911575,0.15911575,0.15911575,0.15911575,0.15911575,0.15911575,0.15911575,0.15911575,0.15911575,0.15911575
UnkRM,48,0.1483332,0.1483332,0.1483332,0.1483332,0.1483332,0.1483332,0.1483332,0.1483332,0.1483332,0.1483332,0.1483332
UnkRM,49,0.1391801,0.1391801,0.1391801,0.1391801,0.1391801,0.1391801,0.1391801,0.1391801,0.1391801,0.1391801,0.1391801
UnkRM,50,0.13120213,0.13120213,0.13120213,0.13120213,0.13120213,0.13120213,0.13120213,0.13120213,0.13120213,0.13120213,0.13120213
